,Tweets,Cleaned_Tweets
225,"Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each.
#PowerShortageInIndia","Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each."
226,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
227,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
228,"#PowerShortageInIndia

Read full news here - https://t.co/VWi2NinxAZ

#Russia #Ukraine #InsideNo9 #inflation #PowerCut #TheMaskedSinger #ArmUkraineNow #kunkra #Mariupol #NFTCommunity #OsasunaRealMadrid #xaviernaidoo #Snowfall #debatmacronlepen #Debat2022 #WeMissYouJungkook https://t.co/Am7YwMXIYX",Read full news here -                 
229,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
230,"The MSEDCL statement said there is a record demand for over 28,000 MW of power, which is about 4,000 MW higher than last year’s due to mismanagement of the BJP
#PowerShortageInIndia","The MSEDCL statement said there is a record demand for over 28,000 MW of power, which is about 4,000 MW higher than last year’s due to mismanagement of the BJP"
231,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
232,"Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each.
#PowerShortageInIndia","Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each."
233,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
234,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
235,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
236,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
237,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
238,"Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
#PowerShortageInIndia",Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
239,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
240,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
241,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia https://t.co/8jqbAxT5jO","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW "
242,"Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!
#PowerShortageInIndia","Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!"
243,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
244,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
245,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
246,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
247,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
248,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia https://t.co/MitpSZP9kF","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement  "
249,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis Failure of the Modi Govt!
250,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
251,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
252,"Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
#PowerShortageInIndia",Prolonged power outages hit production in Bokaro industries. Failure of Modi Govt!
253,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia https://t.co/YHPL00rBvw","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP "
254,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
255,"If only electricity can be generated from religious hatred Narendra Modi
would’ve made India the sustainable energy capital of the world! 
#PowerShortageInIndia",If only electricity can be generated from religious hatred Narendra Modiwould’ve made India the sustainable energy capital of the world! 
256,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
257,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
258,"Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!
#PowerShortageInIndia","Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!"
259,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
260,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia https://t.co/ky9R6KEN1x","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP. "
261,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia https://t.co/jTmhh2ehnz",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices.  
262,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
263,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
264,"India is in danger of sinking into darkness due to the Modi government's negligence!
#PowerShortageInIndia",India is in danger of sinking into darkness due to the Modi government's negligence!
265,"BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously.
#PowerShortageInIndia","BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously."
266,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia https://t.co/tfftR29wWc","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP. "
267,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
268,"BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously.
#PowerShortageInIndia","BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously."
269,"Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!
#PowerShortageInIndia","Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
270,"Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW
#PowerShortageInIndia","Due to the mismanagement of the BJP Maharastra affected after several years is staring at compulsory power cuts as demand is higher than supply, shortages at over 2,500 MW"
271,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
272,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia https://t.co/tmQBqBPEqO","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake.  "
273,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia https://t.co/NBhJSXiljo","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake.  "
274,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
275,"when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!
#PowerShortageInIndia","when the mercury hit nearly 40 degrees Celsius, with the students preparing for examinations, professionals working from home, and the elderly suffering the most.Failure of Modi Govt!"
276,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
277,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake.
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake."
278,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
279,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
280,"India is in darkness... The BJP is falsely propagating that India is bright
#PowerShortageInIndia",India is in darkness... The BJP is falsely propagating that India is bright
281,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
282,"DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
#PowerShortageInIndia",DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
283,"BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously.
#PowerShortageInIndia","BJP leader and Bokaro MLA Pranji Narayan were not worried about the long power cut. ""The JMM-Congress-RJD government has not taken the power crisis seriously,"" the MLA said contemptuously."
284,"The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt
#PowerShortageInIndia",The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of Modi Govt
285,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
286,"Besides the industrial units, the life of common people has been thrown off gear. If the situation does not improve, we will hit the streets in protest.” Failure of Modi Govt.
#PowerShortageInIndia","Besides the industrial units, the life of common people has been thrown off gear. If the situation does not improve, we will hit the streets in protest.” Failure of Modi Govt."
287,"#PowerShortageInIndia Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"," Coal stocks of thermal power plants have fallen below the critical 25% of required stock &amp; in over 50 plants, it has fallen below even the 10% mark. The power crisis will lead to the closure of SMEs &amp; unemployment rate will go higher. Failure of Modi Govt!"
288,"Modi plans to make his Boss Ambani catch up with Adani. With more power cuts, fuel purchases for generators will go up, and Ambani can be in the world's richest race again! BJP great Move
#PowerShortageInIndia","Modi plans to make his Boss Ambani catch up with Adani. With more power cuts, fuel purchases for generators will go up, and Ambani can be in the world's richest race again! BJP great Move"
289,"If only electricity can be generated from religious hatred Narendra Modi
would’ve made India the sustainable energy capital of the world! 
#PowerShortageInIndia",If only electricity can be generated from religious hatred Narendra Modiwould’ve made India the sustainable energy capital of the world! 
290,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
291,"Do read...
#PowerShortageInIndia 

https://t.co/H1FnApdsjF https://t.co/vR6ZR2vK3u",Do read...  
292,"Useless Modi government
#PowerShortageInIndia https://t.co/ZzdS6bbdRw",Useless Modi government 
293,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states.Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states.Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
294,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
295,If only electricity can be generated from religious hatred @narendramodi would’ve made India the sustainable energy capital of the world! #PowerCut #PowerShortageInIndia https://t.co/aOOzon6J0A,If only electricity can be generated from religious hatred narendramodi would’ve made India the sustainable energy capital of the world!   
296,"DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
#PowerShortageInIndia",DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
297,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
298,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
299,"The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of ModiGovt
#PowerShortageInIndia",The Bokaro Chamber of Commerce and Industries said it will write an open letter to CM Hemant Soren and seek his urgent intervention in restoring the electricity supply in the district for the sake of the industrial units and the citizens.Failure of ModiGovt
300,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia https://t.co/FQAJggztuh","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP. "
301,"Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright
#PowerShortageInIndia","Maharashtra: Power outage in Bhosari and Akurdi affects 60,000 consumers.The BJP is falsely propagating that India is bright"
302,"Besides the industrial units, the life of common people has been thrown off gear. If the situation does not improve, we will hit the streets in protest.” Failure of Modi Govt.
#PowerShortageInIndia","Besides the industrial units, the life of common people has been thrown off gear. If the situation does not improve, we will hit the streets in protest.” Failure of Modi Govt."
303,"Reason For Powercut

Thermal power plants across the country are grappling with coal shortage, indicating a looming power crisis in the country.

#PowerShortageInIndia https://t.co/2RcFtpQPLu","Reason For PowercutThermal power plants across the country are grappling with coal shortage, indicating a looming power crisis in the country. "
304,"Modi plans to make his Boss Ambani catch up with Adani. With more power cuts, fuel purchases for generators will go up, and Ambani can be in the world's richest race again! BJP great Move
#PowerShortageInIndia","Modi plans to make his Boss Ambani catch up with Adani. With more power cuts, fuel purchases for generators will go up, and Ambani can be in the world's richest race again! BJP great Move"
305,"India is in danger of sinking into darkness due to the Modi government's negligence!
#PowerShortageInIndia",India is in danger of sinking into darkness due to the Modi government's negligence!
306,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
307,"If only electricity can be generated from religious hatred Narendra Modi
would’ve made India the sustainable energy capital of the world! 
#PowerShortageInIndia",If only electricity can be generated from religious hatred Narendra Modiwould’ve made India the sustainable energy capital of the world! 
308,"The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement 
#PowerShortageInIndia","The shortage of electricity as a percentage of demand has shot up to 1.4 percent over the last week, a Reuters analysis of government data showed, higher than the 1 percent deficit due to union government Mismanagement "
309,"Power Crisis Gujarat Government Mandates industries to shut a day every week! Failure of BJP Govt!
#PowerShortageInIndia",Power Crisis Gujarat Government Mandates industries to shut a day every week! Failure of BJP Govt!
310,"DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
#PowerShortageInIndia",DVC power facility is not available for MSMEs or small industries making them depend on electricity supplied by the state electricity department. Failure of Modi Govt!
311,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
312,"India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
#PowerShortageInIndia",India is on the verge of an unprecedented power crisis as thermal power plants across the country are grappling with coal shortages. Failure of Modi Govt!
313,"Power crisis likely to worsen in as many as 12 states due to low coal stocks
#PowerShortageInIndia",Power crisis likely to worsen in as many as 12 states due to low coal stocks
314,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
315,"Parts of ruralareas as well as Nashik and Jalgaon zonesof Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover allfive districts of Nashik division arefacing load-shedding, forcing citizens,to stage an agitation.Failure of ModiGovt!
#PowerShortageInIndia","Parts of ruralareas as well as Nashik and Jalgaon zonesof Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover allfive districts of Nashik division arefacing load-shedding, forcing citizens,to stage an agitation.Failure of ModiGovt!"
316,"Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!
#PowerShortageInIndia","Coal costs less than the bulldozers, do concentrate on people's actual needs than your RSS agenda .Failure of Modi Govt!"
317,"Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP
#PowerShortageInIndia","Maharashtra, one of the most industrialized states in the country, is on the brink of facing a compulsory power outage due to the Poor administration of the BJP"
318,"Parts of rural areas Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!
#PowerShortageInIndia","Parts of rural areas Nashik and Jalgaon zones of Maharashtra State Electricity Distribution Company Limited (MESDCL) that cover all five districts of Nashik division are facing load-shedding, forcing citizens, to stage an agitation.Failure of Modi Govt!"
319,"The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
#PowerShortageInIndia",The Ilayaraja Issue is a weapon in the hands of the BJP to cover up all this with the rise in electricity and petrol prices. 
320,"Maharashtra: Power outage in pocket.Failure of Modi Govt!
#PowerShortageInIndia",Maharashtra: Power outage in pocket.Failure of Modi Govt!
